first-stage tube temperature (Tt) ,high-temperature fan speed (Sf),temperature (Tf) in the pre-calciner,kiln tail air pressure (Pk),kiln motor current (Ik),kiln tail temperature (Tk),secondary air temperature feedback (Ta),second chamber grate pressure (Pg),EP fan speed (Sa)
0.550913492,0.438131999,0.503844705,0.443567782,0.442571652,0.335263479,0.51168501,0.71104121,0.47329317
0.541679471,0.437762855,0.48221257,0.437329174,0.448514257,0.34821866,0.515092444,0.709753506,0.473176014
0.529285944,0.437823216,0.491114382,0.429122719,0.453792733,0.353314893,0.518548698,0.708944382,0.48578618
0.531372794,0.437845341,0.480382791,0.422295884,0.448530343,0.355495097,0.523233676,0.709606222,0.493107264
0.516301331,0.437732553,0.465400293,0.418097987,0.445421446,0.354493683,0.520760373,0.709348757,0.504924317
0.519443841,0.437762614,0.432114967,0.417522525,0.471377614,0.353695011,0.517828071,0.708318894,0.511722359
0.512298805,0.437822735,0.420014418,0.427193697,0.494321647,0.351831731,0.517975368,0.709680052,0.518510639
0.517945964,0.437920613,0.424207097,0.434096586,0.49872589,0.34717933,0.516419226,0.709863501,0.520903015
0.517235811,0.437838126,0.429259286,0.438305652,0.494515912,0.340080704,0.510210375,0.709348569,0.518587934
0.517301734,0.438169755,0.43154153,0.441788741,0.491682368,0.335960867,0.503166843,0.709826773,0.518038039
0.512617765,0.438229877,0.428849665,0.446574333,0.49613528,0.334972006,0.500578373,0.70990079,0.517726476
0.521327674,0.438200056,0.432749204,0.447676328,0.50526754,0.331993043,0.499087881,0.709826773,0.519346035
0.511976715,0.438395571,0.435823784,0.446674853,0.507146011,0.329470465,0.495696582,0.712732913,0.516258969
0.511988412,0.438169515,0.427598448,0.448416132,0.513104701,0.32587038,0.497990181,0.711261948,0.5090355
0.510960394,0.438297934,0.43405353,0.449506426,0.528325162,0.319544888,0.500349013,0.709900603,0.506655352
0.493890312,0.43832054,0.442808795,0.451936451,0.545407925,0.313891334,0.49879301,0.710158068,0.505773586
0.471863026,0.438433327,0.473466918,0.454228727,0.549601735,0.310151702,0.499268003,0.710673,0.509146175
0.469509353,0.438259937,0.497899071,0.462133623,0.537943373,0.309543305,0.500775046,0.710526091,0.510856054
